content,date,district,place,problem,sentiment,tweetid
I am an undergraduateee under RGPV BE field..  Please sir with due respect grant us the solution in these tough tim… https://t.co/yILyzIJBhj,2020-07-13,Bhopal,Bhopal,null,positive,1.28e+18
Why can’t all leaders across the entire political spectrum follow #lockdown rules like everyone else does… https://t.co/k9zSp1WGw7,2020-07-13,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
@NSDLeGovernance @NSDLeGovernance @nsitharaman @PMOIndia I have mailed the acknowledgement and attached required do… https://t.co/Q0ab3aOFRt,2020-07-13,Chittorgarh,Chittaurgarh,null,neutral,1.28e+18
"L N Mittal,Chairman and CEO, ArcellorMittal and his family has gifted GBP 3.5 million to sponsor a critical profess… https://t.co/tY5ALhfvUf",2020-07-13,Khordha,Bhubaneshwar,['Economic'],negative,1.28e+18
"At the country’s biggest Covid Care Centre in Bengaluru. (When completed)

📸: @chethan18 https://t.co/3JaxswYB6G",2020-07-13,Bangalore,Bengaluru,null,positive,1.28e+18
Sunday LOCKDOWN. #bangaloremirror https://t.co/Vb4FXZlXg7,2020-07-13,Bangalore,Bengaluru South,null,neutral,1.28e+18
@Plaid_Putin @Pathology_MGMU Congrats for great success n hope yr vaccine wud come soon in India too… https://t.co/IL2ZFpYPkA,2020-07-13,New Delhi,New Delhi,null,positive,1.28e+18
Dear @CMOMaharashtra  atlst inform financial institution to have some humanity ground as they have given multiple p… https://t.co/74Xe4vZrD9,2020-07-13,Mumbai,Mumbai,['Economic'],negative,1.28e+18
Global COVID-19 cases near 12.9 million: Johns Hopkins https://t.co/TVHlr6zK9e,2020-07-13,Bilaspur,India,null,neutral,1.28e+18
"World seeing India's successful battle against Covid-19 under PM Narendra Modi: Amit Shah
https://t.co/DVaIcIw0Ao… https://t.co/v0fuYNLIht",2020-07-13,Puducherry,Lawspet,['Food Shortage'],negative,1.28e+18
"India's update:

- Number of new cases up
- Number of new tests down
- Number of new deaths down
- Daily test posit… https://t.co/FczwrQr0SK",2020-07-13,Chennai,Egmore Nungambakkam,['Transpotation'],negative,1.28e+18
@sarbanandsonwal dada your home town need immediate lockdown for 7 days to break the cycle. You must order the district administrators,2020-07-13,Dibrugarh,Dibrugarh,null,neutral,1.28e+18
"'World Can Learn Sustainable Living From India Amid COVID-19 Pandemic': Prince Charles
https://t.co/vV21YmDqjJ via… https://t.co/hMqlAdkjyq",2020-07-13,Kolkata,Kolkata,null,neutral,1.28e+18
"@ArvindKejriwal Sir Delhi also need Saturday, Sunday lockdown for some week.. As Uttar Pradesh is doing for minimize covid 19 spreading...",2020-07-13,Gurugram,Gurgaon,null,neutral,1.28e+18
"If a Deputy CM do not trust his own covid treatment how will a common man like it , why did he shift from Tirupati… https://t.co/U04qgG2q1q",2020-07-13,Krishna,Vijayawada,['Transpotation'],negative,1.28e+18
Time again to stock up booze🍷??Important aspect of lockdown starting tomorrow night highlighted by @Naveen_MIRROR i… https://t.co/fx38vnhFKh,2020-07-13,Bangalore,Bengaluru,null,neutral,1.28e+18
"SOS 

Respected @asadowaisi saab, 
One friend awais khan had 70℅ spo2, covid call center say can't admit at Gandhi… https://t.co/7sROcT3GAw",2020-07-13,Rangareddy,Hayathnagar,null,positive,1.28e+18
"Buy lockdown will be clamped in Gokak, Mudalagi taluk in Belagavi District for 8 days, beginning from Monday night.… https://t.co/XJWggpS2q3",2020-07-13,Belgaum,Belgaum,null,neutral,1.28e+18
"@SamsungMobile @SamsungIndia 
I've purchase A50, bill is attached, on 10.07.2020 evening phone gets discharged and… https://t.co/D4meaZOnJS",2020-07-13,Lucknow,Badshah Nagar Rly Stn,null,neutral,1.28e+18
"Bread chilla😋
Are ready for this healthy and yummy 😋 breakfast......
#streetfoodiedelhi
#artiminki #yesarti… https://t.co/WwJgkUvZr9",2020-07-13,New Delhi,New Delhi,null,positive,1.28e+18
"Do u believe the #coronavaccine has been already prepared &amp; it will be useful very soon...?.?.?
#Covid_19… https://t.co/bG4C2PXjzW",2020-07-13,Khordha,Bhubaneshwar,null,positive,1.28e+18
Hunger s  debilitating and humiliating.Millions of children and old people r battling hunger during these Covid tim… https://t.co/IRoKoSKv6Y,2020-07-13,Gautam Buddha Nagar,Noida,['Food Shortage'],negative,1.28e+18
"@Harmistechnolgy Today Covid-19 Free Test in bopal

Location - Sterling City , sector 9, Bopal

Plz come if any symptoms 
Time 11 AM",2020-07-13,Ahmedabad,Ahmadabad City,null,positive,1.28e+18
"The media is called the 3rd pillar of democracy. Corona has infected about 8 lakh + people in India , but the media… https://t.co/ynaKJaQJb3",2020-07-13,Nalanda,Bihar,['Others'],negative,1.28e+18
"@dmgbnagar @myogiadityanath @cmogbnagar Spike in covid cases ,only 2 pvt authorised labs and govt hospital to condu… https://t.co/bs11kQ5J59",2020-07-13,Gautam Buddha Nagar,Noida,null,neutral,1.28e+18
"@MahuaMoitra Oh! You shown again that speaking/writing in english and talking with sense, both have difference.… https://t.co/8GUfJWgYHD",2020-07-13,Gautam Buddha Nagar,Noida,null,neutral,1.28e+18
"They are in action after @CarryMinati roast video. 

#vaccine #Covid_19

Congratulations #Moscow . https://t.co/gwSCmX26aQ",2020-07-13,Saran,Chhapra,null,positive,1.28e+18
"https://t.co/64KHmwDqlB
#GujaratModel slow claps👏👏",2020-07-13,Pune,Haveli,null,neutral,1.28e+18
@jagograhakjago @DeptConsumerAff @nch14404 @MNCDFbombay It’s been an open scam where all the power companies… https://t.co/8Dnc3Bx1pD,2020-07-13,Mumbai,Mumbai,['Transpotation'],negative,1.28e+18
@NwfiOf @MiIAiMeD @TarunKarnany @dgftindia @PMOIndia @FieoHq @TexMinIndia @KSAmofaEN @MoHFW_INDIA @PiyushGoyalOffc… https://t.co/r1dqj1zhXa,2020-07-13,Paschim Bardhaman,Asansol,null,neutral,1.28e+18
"Dr Gulleria breaks down Covid-19's medical complexity for everyday use. A must read. 
https://t.co/xTBvR07TR9 @IndianExpress",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
"Being at the comfort of our own homes has its own pros and cons this lockdown period, keep the mind fresh with posi… https://t.co/tzQGusIZEf",2020-07-13,Bangalore,Bengaluru South,null,positive,1.28e+18
"In collaboration with the Kolkata Police, the Kolkata Municipality will monitor the COVID-19 positive patients unde… https://t.co/TRqlkRI9uA",2020-07-13,Kolkata,Kolkata,null,positive,1.28e+18
"@CastingChhabra @foxstarhindi @sanjanasanghi96 @arrahman @roo_cha After d lockdown, u guys shud think of putting it… https://t.co/PFqgBXO1ZE",2020-07-13,Mumbai,Mumbai,null,neutral,1.28e+18
"#DMgbnagar,spike in covid cases ,only 2 pvt authorised labs and govt hospital for tests ofnhuge population leading… https://t.co/9ApQMcssXe",2020-07-13,Gautam Buddha Nagar,Noida,null,neutral,1.28e+18
"Being at the comfort of our own homes has its own pros and cons this lockdown period, keep the mind fresh with posi… https://t.co/Yuvu9Luv2N",2020-07-13,Lucknow,Lucknow,null,positive,1.28e+18
Delhi BJP president will start agitation and campaign against Delhi Govt for taking Electricity Fixed  charges duri… https://t.co/fSDvmmQqtO,2020-07-13,New Delhi,New Delhi,['Economic'],negative,1.28e+18
"Sir, will the flight service in Lockdown continue?#Kempegodwa",2020-07-13,Purnia,Purnia,null,neutral,1.28e+18
@priyankac19 @VidyaKrishnan @mybmc Ma'am what exactly is the SOP here? A society of a friend of mine had a serious… https://t.co/3t8Kr0lI7w,2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
"@bibekdebroy @livemint A party with booze and belly dancing,
300 plus guests around,prancing,
This idukki business… https://t.co/YA6PX7PFY7",2020-07-13,Medchal–Malkajgiri,Medchal,null,positive,1.28e+18
@AskYourCM Karnataka is doing a great job by imposing lockdown from Tuesday.. hoping for better tomorrow 🙏🙏,2020-07-13,Bangalore,Bengaluru South,null,positive,1.28e+18
"Hand-washing is critical in Fight against Covid-19
#FightAgainstCorona https://t.co/L9VK6jpFmg",2020-07-13,Jhajjar,Jhajjar,['Others'],negative,1.28e+18
"Lockdown Marriage l Thalapathy l Tamil Trending Memes l Memes 2020 l Tamil Funny Memes l Lemuria Memes

Link in Bio… https://t.co/hbIgjG4xz7",2020-07-13,Chennai,Perambur Purasavakam,null,positive,1.28e+18
"#AmitabhBachchan
#AbhishekBacchan
#Covid_19
#mondaythoughts
#Sachin_pilot
#wybory2020
#coronavirus
#coronavaccine… https://t.co/Je91VLJeGw",2020-07-13,Indore,Indore,null,neutral,1.28e+18
"Odisha reports 616 new #Covid +ve cases; Tally: 13,737

Local cases: 201

6 more Covid deaths, 
Tally: 70
(Ganjam-4… https://t.co/sZ5CMMMAVs",2020-07-13,Cuttack,Cuttack,null,neutral,1.28e+18
"Anyone reading this , May you be safe from Covid-19 #coronavaccine",2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
We live in a Nation  Where #Sachin_pilot tested Positive for @BJP4India Is more important for the Media Houses than… https://t.co/yojtggxQs3,2020-07-13,Darbhanga,Darbhanga,null,positive,1.28e+18
"No ambulance for Covid dead body to move in one side

Another side Benz car of worth crores to the grand son of CM… https://t.co/dlqiVoQLqC",2020-07-13,Medchal–Malkajgiri,Medchal,['Transpotation'],negative,1.28e+18
"#TrueWorship_CuresDiseases
Millions of people are suffering from many incurable dieses like as cancer, Aids, Covid-… https://t.co/oKsUec78OO",2020-07-13,Palwal,Palwal,['Daily Services'],negative,1.28e+18
"Ambulance Drivers have moved out of their homes to protect their families;they now drive, live &amp; sleep In their veh… https://t.co/ojK7zEIUus",2020-07-13,Bangalore,Bengaluru South,['Transpotation'],negative,1.28e+18
"@BrahmapurCorp @Ganjam_Admin @DRDAGanjam arrange tea at covid hospital s, quarantine centers , it's d most importan… https://t.co/bhk5WJYSZ1",2020-07-13,Ganjam,Brahmapur,null,neutral,1.28e+18
"Wake me up before you go!! 
🛵🛵🔌🔌🌍🌍💐

#wakeup #monday #gowel #scooter #electricscooters #electricvehicles #emobility… https://t.co/uPeXbWUq6m",2020-07-13,Gurugram,Gurgaon,null,neutral,1.28e+18
"SEVERE LOCKDOWN in Khardaha,
Shops closed, Office Gates closed,
But we are in office via #backdoor...

Great Admini… https://t.co/8oaCEWr7UI",2020-07-13,Kolkata,Kolkata,null,positive,1.28e+18
"India's Covid-19 recoveries cross 5-lakh mark, recovery rate at 62.78%
https://t.co/U4rXr7LFsk

via NaMo App https://t.co/Oyd19K3qLm",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
"#Covid_19 , that’s India’s position. https://t.co/Mso0uHq6CK",2020-07-13,Kamrup Metropolitan,Guwahati,null,neutral,1.28e+18
"How covid 19 affected restaurnat &amp; bar Business in. India. #restaurants #barbusiness
#hospitality… https://t.co/upmf90bDgb",2020-07-13,Raigad,Panvel,['Transpotation'],negative,1.28e+18
"'World Can Learn Sustainable Living From India Amid COVID-19 Pandemic': Prince Charles
https://t.co/8vxXizWiNq

via… https://t.co/jGuahFJy8X",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
"Govt. should enforce the curfew on Mondays. All working professionals will happily stay at home.

#mondaythoughts… https://t.co/EBa7tBQOph",2020-07-13,Chennai,Chennai,null,positive,1.28e+18
#Covid_19 is peaking in India now atleast 50 families I know are infected. Take utmost care in everything you do as… https://t.co/l9ZYw7YrYh,2020-07-13,Howrah,Haora,null,neutral,1.28e+18
So true #Covid_19 #COVID19 https://t.co/DMTVitsOdS,2020-07-13,New Delhi,New Delhi,null,positive,1.28e+18
"N.covid is not hoax as some people believed it,it is purely biological structure.",2020-07-13,Ahmedabad,Ahmadabad City,['Transpotation'],negative,1.28e+18
"@PCM6390 writes about the economic transformation underway in India.
https://t.co/ckC1tgqNEJ",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
"@ArvindKejriwal Sir Delhi also need Saturday, Sunday lockdown for some week.. As Uttar Pradesh is doing for minimize covid 19 spreading...",2020-07-13,Gurugram,Gurgaon,null,neutral,1.28e+18
@ADVBuyers @cjain9 @noidapolice @CP_Noida @alok24 U summed it up well Sir.. Noida Police was the ⭐⭐⭐ ⭐ performer un… https://t.co/WAdydb2XH4,2020-07-13,Gautam Buddha Nagar,Noida,['Daily Services'],negative,1.28e+18
"#MondayMotivation
#mondaythoughts 
#MondayVibes 
#Covid_19 
#coronavaccine 
#HealthIsWealth 
#MondayBlogs 
.
.Must… https://t.co/DBX27hIFDy",2020-07-13,New Delhi,New Delhi,null,neutral,1.28e+18
"Last 24 hours in Kerala

435 Covid Cases https://t.co/dTDPMEu7xB",2020-07-13,Thiruvananthapuram,Trivandrum,null,neutral,1.28e+18
"'Indiscriminate use of remdesivir, tocilizumab on Covid patients can cause more harm than good' https://t.co/si1YMkXjxZ",2020-07-13,Bijnor,Bijnor,['Others'],negative,1.28e+18
@covid__chacha 🙏✍️🤝🎤I really like y💖u &amp; work for you ..if my luck and talent permits me.👍,2020-07-13,Bangalore,Bengaluru,null,positive,1.28e+18
"#GodMorningMonday 
#StayHomeStaySafe 
#Flowers #Covid_19 
Pray God, the omni potent who can save every one. 🙏🌺🙏🌺🙏🌺🙏… https://t.co/E6bcH2sP1H",2020-07-13,Bellary,Hospet,null,positive,1.28e+18
"A party with booze and belly dancing,
300 plus guests around,prancing,
This idukki business
 chap,
Laid a virtual C… https://t.co/y79xaWjRUa",2020-07-13,Medchal–Malkajgiri,Medchal,null,positive,1.28e+18
"With most cafe closed due to lockdown, coffee consumption has dropped sharply worldwide @HPKonemaneVK https://t.co/kl9ZLfyfTQ",2020-07-13,Bangalore,Bengaluru,null,neutral,1.28e+18
The BMC is sanitising all COVID infected houses. the @moayush also apparently calling every patient &amp; checking on t… https://t.co/ZATN6bDPpG,2020-07-13,Mumbai,Mumbai,['Transpotation'],negative,1.28e+18
"World seeing India's successful battle against Covid-19 under PM Narendra Modi: Amit Shah
https://t.co/13k8znk42P… https://t.co/13WC6xbB3P",2020-07-13,New Delhi,New Delhi,['Food Shortage'],negative,1.28e+18
House full it was. Virtual seminar on “Precautions for Diabetic patients during COVID-19” by @BrahmapurCorp &amp;… https://t.co/j5UvxjdFoE,2020-07-13,Ganjam,Brahmapur,null,neutral,1.28e+18
"Instead of praying🙇🙌🙏 for
     Just a #Single #Family👪!!! 
#Pray🙏🙌 for The Whole #Nation 🌍 , 
It will be More… https://t.co/lYTgHpmejJ",2020-07-13,Khordha,Bhubaneshwar,null,positive,1.28e+18
First hand information for many of us in #Bengaluru wondering on what to do when in doubt of a #Covid_19 symptom.… https://t.co/hgM44uSi6Q,2020-07-13,Bangalore,Bengaluru South,['Transpotation'],negative,1.28e+18
"@CMofKarnataka 
@RAshokaBJP 
@drashwathcn @CPBlr 
We request the https://t.co/a6LaLYzvzw  spare all manufacturing i… https://t.co/1YyQUzzsXq",2020-07-13,Bangalore,Bengaluru South,null,neutral,1.28e+18
Lockdown start in nanded sity,2020-07-13,Nanded,Nanded,null,neutral,1.28e+18
"Covid is airborne. Wear mask.
#coronavirus #Covid_19 https://t.co/nx7DMseXXJ",2020-07-13,Bangalore,Bengaluru South,null,neutral,1.28e+18
"@alnassar_kw
Gujarat Cop Who Stopped MLA's Son, His Friends Amid Lockdown Transferred - NDTV https://t.co/HNbtfWj3GC",2020-07-13,Mysuru,Mysore,['Economic'],negative,1.28e+18
"India's Covid-19 recoveries cross 5-lakh mark, recovery rate at 62.78%
https://t.co/r4OHPIAffL

via NaMo App https://t.co/vLxbe9xAJJ",2020-07-13,Puducherry,Lawspet,null,neutral,1.28e+18
"Public awareness with help of local administration ,local political worker and social activists about preventive me… https://t.co/pWJbEX8IHv",2020-07-13,Patna,Danapur,null,positive,1.28e+18
The sustenance that has come out of this lockdown at whatever loss we have incurred has led to this question of sho… https://t.co/xem2MYhTV4,2020-07-13,Chennai,Chennai,['Others'],negative,1.28e+18
"Gujarat minister's son, friends held for 'violating lockdown rules' https://t.co/hMFykm0dh1 via @IndianExpress",2020-07-13,Bangalore,Bengaluru South,['Economic'],negative,1.28e+18
"I appreciate #Russia fr there greatly develop work on #COVID19vaccine
#worlds1stcovidvaccine
@KremlinRussia_E… https://t.co/NsY0liQ4PD",2020-07-13,Ward 3,Chandigarh,null,positive,1.28e+18
World seeing India's successful battle against Covid-19 under PM @narendramodi : @AmitShah #IndiaFightsCorona… https://t.co/GIozQnGO1L,2020-07-13,New Delhi,New Delhi,['Economic'],negative,1.28e+18
"I really pray this vaccine is successful and WHO approved.

I pray all nations are saved from this pandemic. I pray… https://t.co/7606O97jdO",2020-07-13,Faizabad,Ayodhya,null,positive,1.28e+18
"Chhattisgarh among one of those state with least number of ICMR Approved Covid Labs (5 labs).
Even Odisha has 20 la… https://t.co/HocP3qNksS",2020-07-13,Rampur,Bilaspur,['Others'],negative,1.28e+18
"see someone else’s STRENGTH as a compliment to your WEAKNESS. 
.
.
.
.
.
.
.
.

Lockdown Time.
.
.
.
.
#picture… https://t.co/74yziQ0X7Z",2020-07-13,Patna,Rajendra Nagar,null,positive,1.28e+18
Financial sector is d fulcrum of Government s economic revival plan It needs fixing India's exit from d lockdown ha… https://t.co/IUuTa5iySO,2020-07-13,Meerut,Meerut,['Transpotation'],negative,1.28e+18
"A big shout out to all #Hotels who are supporting @chennaicorp
to host #Qurantine people even when staff getting in… https://t.co/DkzqGPVO2U",2020-07-13,Chennai,Chennai corporation Office - Alandur,null,positive,1.28e+18
High tome to take action against news channels like @tv9kannada @publictvnews @suvarnanewstv as they threatening pe… https://t.co/Q1DbHPSW5O,2020-07-13,Bangalore,Bengaluru South,['Daily Services'],negative,1.28e+18
Hi sir I beg you to please lockdown delhi as up govt. are doing https://t.co/bLTrs90g0s,2020-07-13,New Delhi,New Delhi,['Daily Services'],negative,1.28e+18
"#coronavaccine 
#Covid_19 
#MondayMotivaton 
#ugc_cancel_exam 

Everyone right now:- I am so happy #coronavaccine d… https://t.co/VhRcIuxTth",2020-07-13,Faridabad,Faridabad,null,positive,1.28e+18
Sir during the lockdown inbound passengers from other states allowed? I've valid pass from Madurai to Bangalore for… https://t.co/9TnMNm2xXa,2020-07-13,Bangalore,Bengaluru,null,neutral,1.28e+18
Be aware of #cyberfraud because during #Covid_19 #lockdown #cyberfraud increased drastically. Don't Share your pers… https://t.co/YrIIvBzj4k,2020-07-13,Lucknow,Lucknow,['Daily Services'],negative,1.28e+18
@RailwaySeva What is the last date if my window ticket is booked on 15 April and I want to cancel it online as visi… https://t.co/sDogJzuzK9,2020-07-13,Mumbai,Mumbai,['Transpotation'],negative,1.28e+18
"LockDown Marriage l Thalapathy l Tamil Trending Memes l Memes 2020 l Tamil Funny Memes l Lemuria Memes

Link in bio… https://t.co/HzDaPLyxU7",2020-07-13,Chennai,Perambur Purasavakam,null,positive,1.28e+18
"#RussianVaccine
""Russia first nation to successfully complete human trials of coronavirus COVID-19 vaccine""

Me to… https://t.co/QvNCkeyRIS",2020-07-13,Surat,Surat,null,positive,1.28e+18
"https://t.co/nWORFAl4TG
My opinion on the requirement of #ICU and #ventilators in #Odisha
#Covid_19 
@kanak_news",2020-07-13,Cuttack,Cuttack,null,neutral,1.28e+18
@PMCPune kindly release the lockdown rules in english also as i m not good in marathi 🙏,2020-07-13,Pune,Haveli,['Transpotation'],negative,1.28e+18
@RAshokaBJP @DCPSouthBCP @BSYBJP During lockdown times...passengers allowed to travel from Tamilnadu to Bangalore ?… https://t.co/FKs3JkeGe5,2020-07-13,Bangalore,Bengaluru,null,neutral,1.28e+18
@RahulGandhi Nobody cares now from the sitting Govt as they are satisfied that we are in top three only . If we rea… https://t.co/EmsK0Zk8rW,2020-07-13,Bhopal,Bhopal,null,positive,1.28e+18
"PM chaired review meeting on Covid-19 pandemic preparations
https://t.co/paO6bHLYTw

via NaMo App https://t.co/8fXmOnrvny",2020-07-13,Ghaziabad,Ghaziabad,null,neutral,1.28e+18
DMCH is worst government hospital. No doctor or nurse are ready to visit. Extreme dirty hospital. Patient and anima… https://t.co/whd6hlEfdR,2020-07-13,Darbhanga,Darbhanga,['Food Shortage'],negative,1.28e+18
"There is a great need in #Delhi 
#lockdown 
@AshwaniKumarAdv 
#lockdownextension 
#coronavirus #Covid_19… https://t.co/UttjaOn4hA",2020-07-13,New Delhi,New Delhi,null,positive,1.28e+18
"This week, @AshdinDoc talks about how these times during COVID have become the best time to collaborate, to join fo… https://t.co/ECf0Ikc0Rk",2020-07-13,Bankura,Indus Vox Media,null,positive,1.28e+18
@baujidesi @ChairmanIba @DFS_India During COVID epidemic it is must and beneficial for staffs and customers to prev… https://t.co/VjFhyM1fSp,2020-07-13,Gurugram,Gurgaon,null,positive,1.28e+18
Conduction of exam is highly riskly for all students due too covid 19 disease,2020-07-13,Tonk,Tonk,null,neutral,1.28e+18
"#Covid_19 Thread by 
@LawrenceGostin https://t.co/D7R08NQnN4",2020-07-13,Gurugram,Gurgaon,null,neutral,1.28e+18
National news really? Bacchan family with mild COVID 19. What about the Aam janta?,2020-07-13,Thane,Navi Mumbai,null,neutral,1.28e+18
"@flipkartsupport taking advantage of the lockdown @Flipkart is selling the product higher than MRP ,  attached is s… https://t.co/NZyQQFXX7C",2020-07-13,Bangalore,Bengaluru,['Others'],negative,1.28e+18
"Choosing the correct colour is a paramount process in the branding of a company.
.
.
Let’s have a look, what subtle… https://t.co/uTLpx9gu3e",2020-07-13,Bangalore,Bengaluru South,null,neutral,1.28e+18
This morning .... Rahul Gandhi questions government on handling Covid crisis ....not a word on Rajasthan ?,2020-07-13,Bangalore,Bengaluru,['Daily Services'],negative,1.28e+18
@KapilSibal Partying is prohibited during lockdown..... stay home and stay safe....🤣🤣🤣,2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
"@PawanKalyan Pawan Kalyan sir, sorry for the disturb sir, I'm Janardhan I'm from spsr Nellore district Andhra Prade… https://t.co/yauQcdjucz",2020-07-13,Madhubani,Andhra Pradesh,['Daily Services'],negative,1.28e+18
"Strict Lockdown has been imposed in Ghatla Village, hope things recover soon🙏❤  Let's hope for the best🙏❤… https://t.co/MZYfQ9eev2",2020-07-13,Mumbai,Mumbai,null,positive,1.28e+18
