content,date,district,hour,minutes,place,sentiment,tweetid
There is Amitabh Bachhan who is getting all the attention from media and government after testing positive for Covi… https://t.co/ZF9ai9VJ1E,2020-07-19,Solan,3,22,Himachal Pradesh,positive,1284689990119645184
"@BBMPCOMM @anilkumar_ias BBMP is complete scam group, corporaters the cheapest of all ,want to make money even duri… https://t.co/YmXnnOkL3t",2020-07-19,Bangalore,3,20,Bengaluru South,negative,1284689559565959169
"Fury of Covid-19 provides context for rebirth and reform of the UN: PM Modi
https://t.co/IwDtisG2bM

via NaMo App https://t.co/KOFzMM6lhr",2020-07-19,New Delhi,3,16,New Delhi,negative,1284688489171173376
"India has extended assistance to over 150 countries in fight against Covid-19: PM Modi
https://t.co/exCYviaD1N

via… https://t.co/V88oavXOge",2020-07-19,New Delhi,3,15,New Delhi,negative,1284688390017843200
"India's Covid-19 recovery rate among best in world: PM Modi
https://t.co/qghOMo4ECW

via NaMo App https://t.co/Craub5obul",2020-07-19,New Delhi,3,15,New Delhi,positive,1284688377581694977
"Lockdown 4.0 routine 

Eat 
Sleep
Eat 
Sleep 
Eat 
Sleep
Eat 
Sleep",2020-07-19,Raipur,3,14,Raipur,neutral,1284688015713906688
This #lockdown has taught me just one thing - I can survive on the same three pairs of gym shorts for years.,2020-07-19,Thane,3,8,Thane,neutral,1284686501599604737
"Join us on a digital platform fir discussion on #Diabetes &amp; Eye Care. 

Topic: “Insights into D-Eye-betes Care in C… https://t.co/12BIUhqN4J",2020-07-19,Ganjam,3,6,Brahmapur,positive,1284686021611806720
@AmitShah @narendramodi @PMOIndia @NitishKumar @BiharHealthDept   What is Bihar administration waiting for.. I reco… https://t.co/TlAc0meoWp,2020-07-19,Munger,3,5,Munger,neutral,1284685771077607424
On this Sawan Shivratri KW Group members pray to almighty lord Shiva to protect all from the ill effect of COVID-19… https://t.co/y0XCyBp1bV,2020-07-19,Ghaziabad,3,5,Ghaziabad,negative,1284685731311390721
On this Sawan Shivratri KW Group members pray to almighty lord Shiva to protect all from the ill effect of COVID-19… https://t.co/RN8ldaeFiB,2020-07-19,Ghaziabad,3,4,Ghaziabad,negative,1284685598620446720
@BangaloreMirror I have seen them yesterday at Sheraton hotel...i work in same circumstances.. and also companies a… https://t.co/WLE626rAPq,2020-07-19,Bangalore,3,4,Bengaluru South,neutral,1284685545117872128
"@BlrCityPolice @blrcitytraffic
These are people who breach lockdown everyday and create a lot of noise playing cric… https://t.co/zKutWNeUDX",2020-07-19,Bangalore,3,3,Bengaluru South,positive,1284685373487017985
"India's Covid-19 recovery rate among best in world: PM Modi
https://t.co/qCHW6pou95 https://t.co/gvsNIYi691",2020-07-19,Agra,3,1,Agra,positive,1284684832631554051
Ananya Madam namaskar and thanks for your quick response for culvert work at Annapurna lane Pithapur Cuttack. Amids… https://t.co/mD4K3uJrnV,2020-07-19,Cuttack,2,59,Cuttack,positive,1284684212612677633
@AnasMallick Fantabulous reply by Covid-19 patient. 😊😊,2020-07-19,Varanasi,2,52,Varanasi,positive,1284682377373990913
@TOIIndiaNews Covid is well under control in. Up taking its population. Priyanka is ignorant and biased. No one heeds her foolish remarks,2020-07-19,Ghaziabad,2,50,Ghaziabad,negative,1284681924288450561
"Whoever is not with me is against me, and whoever does not gather with me scatters.
Matthew 12:30

#bible… https://t.co/4fcWBg95IU",2020-07-19,Agra,2,46,Tamil Nadu,neutral,1284681040292745216
"@navsekera The best medicine against Covid-19, you have it very much. it is 'आत्म-बल'।",2020-07-19,Kolkata,2,45,Kolkata,positive,1284680744254623744
"Emerging Strategies in Post Covid Era @ Mayfield Gardens, Sector - 50, Gurgaon https://t.co/EATDTa356N",2020-07-19,Gurugram,2,44,Gurgaon,neutral,1284680456768819200
"I. just went to future and came back with this pack ..
you don't believe me ? then watch the packed date on this pa… https://t.co/1lYDeCuYim",2020-07-19,Karimnagar,2,44,Karimnagar,neutral,1284680453480255488
#Telgu #Poet #VaraVaraRao who was admitted in #Mumbai’s state-run St George #Hospital has been shifted to… https://t.co/zHFIgtMHAM,2020-07-19,Mumbai,2,42,Mumbai,negative,1284680075967778817
@ipskabra @Subhadi46322658 @dpssgr @JmuKmrPolice @AbdurRahman_IPS @Nidhi @SharmaKadambini @VishnuNDTV… https://t.co/2GRW5iK98O,2020-07-19,Lucknow,2,39,Lucknow,neutral,1284679250130288642
"Please allow electric shop ,hardware,sanitary and paint shop to function under preventive measures on humanitarian… https://t.co/yfvAZXuT7X",2020-07-19,Patna,2,34,Danapur,positive,1284678059799351296
"India has helped over 150 countries in global fight against #Covid19’: 
But india forgot to help their own country… https://t.co/pGlAWYMifn",2020-07-19,Bangalore,2,30,Bengaluru South,positive,1284676848467640320
Ayurved Darshan. Be healthy eating right Food with PP Acharyashri. #lockdown #OD_KRD @YuvaBharat_Od @subarnapur_yb… https://t.co/Xe2w47DEpn,2020-07-19,Khordha,2,27,Bhubaneshwar,positive,1284676240570372097
"https://t.co/gqmtYC8rgZ.

As usual, a good analysis by Pro. Nageshwar on some urg steps to contain the spread of Co… https://t.co/LetkhuGesk",2020-07-19,Rangareddy,2,26,Hayathnagar,positive,1284676054439743489
"@CMOfficeUP Sir ,
I m student of bsc from varanasi   , Due to lockdown, I am unable to pay my room rent but the own… https://t.co/gf52FfqJJC",2020-07-19,Chandauli,2,25,Chandauli,negative,1284675756262518785
"IGP Surendra Yadav, Puducherry Police, visiting containment zones/ lanes..
Collective field efforts and effective s… https://t.co/xXSgcu37o5",2020-07-19,North Delhi,2,24,Pondicherry,positive,1284675444629893121
"Nursing staff , para-medical staff&amp;sanitary workers are front line soldiers inwar against covid-19. Timely payment… https://t.co/q74mHVgPKe",2020-07-19,New Delhi,2,22,New Delhi,neutral,1284675064483307520
@navalMH @pcmcindiagovin please Help feed the covid warriors.. do your bit authorities.. https://t.co/ITC3U3VT8C,2020-07-19,Pune,2,21,Haveli,positive,1284674572080431105
"Ministers getting tested for Corona without any symptoms but common people with fever, caugh, breathless Ness strug… https://t.co/8cuJJKLCw7",2020-07-19,Hyderabad,2,18,Hyderabad,neutral,1284673887335219201
@upma23 COVID positive is the worst form of a bad situation ...😎,2020-07-19,Hyderabad,2,18,Hyderabad,negative,1284673886538231808
#civilengineer proud to be civil engineer sir ..COVID-19 treatment only with civil engineer..making home ...stay ho… https://t.co/pOVDuAl3dG,2020-07-19,Ahmedabad,2,17,Ahmadabad City,positive,1284673724541632515
@navsekera Get well soon sir. We know you r a warrior n u will conquer covid as well.,2020-07-19,Gautam Buddha Nagar,2,15,Greater Noida,positive,1284673246026018818
"@esskay303 @MANJULtoons The best economist ' Albert Einstein '  and his achievements #Demo, #GST fiasco, badly timed.# Lockdown 😀😀😭😭🙏🙏",2020-07-19,Mumbai,2,14,Mumbai,negative,1284673025967710208
@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @HRDMinistry @mygovindia @transformIndia @PIB_India… https://t.co/9n5y6mG1D6,2020-07-19,Ward 3,2,13,Chandigarh,neutral,1284672695494311937
@htTweets at least get your dates right. Your correspondents talk of July 23 as the highest number date but July 23… https://t.co/26QhYwnasG,2020-07-19,Panchkula,2,13,Panchkula,neutral,1284672581807665153
"10 lakh + COVID cases in India.
40 lakh + affected in Assam floods.

Actor is suddenly camera shy.… https://t.co/zWeYsovCx4",2020-07-19,New Delhi,2,10,New Delhi,negative,1284671841320046594
@SudhirMisraNBT Thanks for the sharing and good coverage 👍 Wearing a mask can help prevent the spread of COVID-19 b… https://t.co/U4JdMPwoni,2020-07-19,Gautam Buddha Nagar,2,8,Noida,positive,1284671529603616769
@dc_garhwa @HemantSorenJMM @ZeeBiharNews @MoHFW_INDIA @MithileshJMM I am worried to see the situation of Garhwa Dis… https://t.co/8wfs4zITmv,2020-07-19,Patna,2,5,Rajendra Nagar,negative,1284670783210438658
@POTUS is definitely a fool...it's right that mask will eradicate #covid but definitely will reduce the amount of s… https://t.co/MyV3DmPtxi,2020-07-19,Kanchipuram,1,55,Sriperumbudur,positive,1284668054811471872
@thebharatpur Only staff got teased to wear mask rest all peoples don’t have mask and in noon they are going out fr… https://t.co/S83FHanta9,2020-07-19,Chittorgarh,1,46,Chittaurgarh,negative,1284665902051491842
"Here's how Ayurveda can help in fight against COVID-19
https://t.co/qLnFJKxZGU
Source: ""The New Indian Express"" via… https://t.co/UfASKssqxG",2020-07-19,Rangareddy,1,45,Hayathnagar,neutral,1284665639030755328
"Covid and noncovid death no comparison based research, in Indian no research done how big is the diseases,simply fo… https://t.co/mWCDfot3uu",2020-07-19,Cuttack,1,44,Cuttack,negative,1284665402719481856
"@upadhyay_swarup IN THIS COVID CRISIS, CONFINED AT HOME IT IS AMUSING PASS TIME TO WATCH REPUBLIC BHAARAT NEWS NATI… https://t.co/45rbGdGFu7",2020-07-19,Sonitpur,1,43,Tezpur,negative,1284665131184447489
@deepolice12 @wfieldps @BBMPCOMM @CMofKarnataka could someone please confirm if we have sunday curfews in place tod… https://t.co/E85mS8oR40,2020-07-19,Bangalore,1,38,Bengaluru South,negative,1284663926249058304
"@PMOIndia
@narendramodi
Sir, @CESCLimited  is cheating with  people! They are taking advantage of lockdown and clai… https://t.co/Qmz8gNS8aP",2020-07-19,Howrah,1,37,Haora,negative,1284663496878075904
"@myogiadityanath Sir, with all due respect, What is the use of Lockdown when local vendors in colonies are still ac… https://t.co/2Brdqu7hac",2020-07-19,Jhansi,1,34,Jhansi,positive,1284662794265096192
@Rahul_Yadav_007 @PMOIndia @narendramodi @AmitShah @TheJohnAbraham @akshaykumar @SonuSood @JohnDeewana Why would me… https://t.co/P5xhrrRPH0,2020-07-19,Thane,1,24,Navi Mumbai,neutral,1284660449955340289
"Amongst the many voices of @parents4futureG, asking the ministers at #G20 #Brussel to #ActNow on #JustRecovery from… https://t.co/6cTqEA8Qio",2020-07-19,New Delhi,1,23,New Delhi,neutral,1284660009880547328
What govt has done during last lockdown? Why they didn't prepare for the crisis situation that was to hit the state? https://t.co/LaVan7etEQ,2020-07-19,Bangalore,1,18,Bengaluru South,negative,1284658776767774720
Finally an Ayurvedic COVID Treatment Facility in India https://t.co/OkLROkv65Z,2020-07-19,Bangalore,1,17,Bengaluru,neutral,1284658572165447684
@RoadsOfMumbai @rajeshtope11 For covid I find public more responsible than others !!! People avoid face mask as if… https://t.co/rnKLHnZHdh,2020-07-19,Mumbai,1,16,Mumbai,negative,1284658363955961857
"@PradeepJenaIAS Dear sir 🙏
Open fertilizer shop and agricultural equipment shop during lockdown period . otherwise… https://t.co/BdXpFCUEYk",2020-07-19,Ganjam,1,1,Chilka Lake (Banpur),negative,1284654674310660096
"All You Need Are a Few Small Wins Every Day. In this COVID time, proud of my entire ortho team which conducted 100+… https://t.co/bQSJMlmSSa",2020-07-19,Mumbai,1,0,Mumbai,positive,1284654335230525441
@uddhavthackeray BMC should and must reduce or waive minimum property tax for both commercial and Residential prope… https://t.co/WVaUOZawq4,2020-07-19,Mumbai,0,55,Mumbai,neutral,1284653002792464386
@CESCLimited Lockdown can’t be the parameter for fleecing money from consumers.This is the first time Rs 4272/-has… https://t.co/4BqPZccalw,2020-07-19,Kolkata,0,50,Kolkata,neutral,1284651676649975808
"@ZEE5helps It is standard reply, ""our team is working on this ,taking longer time due to covid....Have you extended… https://t.co/2umqMGbsLy",2020-07-19,Gautam Buddha Nagar,0,48,Noida,neutral,1284651317135200256
"- CoVID recession. 
- Inevitable unemployment on cards. 
- Tightening of spending ability. 
- Hijacked financial sy… https://t.co/iTwtxU6vv6",2020-07-19,Ludhiana,0,38,Ludhiana,negative,1284648774241902594
"Other your intelligence we will win war against covid19. Make speaks to all to follow or
If not
There will be colla… https://t.co/bhjM8XGQZC",2020-07-19,Amritsar,0,22,Amritsar,positive,1284644860184543232
"@navsekera Sure Sir, you will beat Covid-19 and Get well soon Sir......",2020-07-19,Lucknow,0,22,Lucknow,positive,1284644686418739201
@DrGogoi2 sir how many covid 19 patients recovered in dibrugarh now?,2020-07-19,Dibrugarh,0,15,Dibrugarh,neutral,1284642936060178433
@CMOKerala CPM has decided that Party workers will visit all houses for their political campaign. Is it not a viola… https://t.co/DeysIrICOt,2020-07-19,Kottayam,6,16,Kottayam,positive,1284733746348843008
@navalMH @satark_indian Sir please release the price cap of Covid testing hospital wise that will help a lot one of… https://t.co/DLyv0PfbgX,2020-07-19,Pune,6,15,Haveli,positive,1284733509387431937
"@PoojaTalekar10 Mindset of society towards this COVID-19 has to change, 
@mybmc 
Everyone from society including go… https://t.co/jzuEiOASzr",2020-07-19,Mumbai,6,14,Mumbai,neutral,1284733382094663680
Because of such people lockdown is getting extended and we have to stay longer at home.,2020-07-19,Thane,6,13,Navi Mumbai,neutral,1284733033409466370
Russia 1st nation to finish human trials for Covid-19 vaccine https://t.co/CIeI61hQU0 via @ETHealthWorld,2020-07-19,Mumbai,6,13,Mumbai,neutral,1284732962706055168
"Deep sanitization conducted by @OfficialGNIDA #COVIDWarriors at sector XU-03 #GreaterNoida.
#StayAtHome and follow… https://t.co/xlUThH3sgd",2020-07-19,Gautam Buddha Nagar,6,10,Noida,neutral,1284732443681939456
"@AjayPai17 @AdPsychology @TataTeaFusion @TataTeaGold I was struggling with my sleep since lockdown started, two wee… https://t.co/vTGc01EPky",2020-07-19,Dakshina Kannada,6,10,Mangalore,negative,1284732413571039232
"@VTankha ji I told you ground real stories that we are helping tribals in Narsinghpur district, they are most vulne… https://t.co/BOnlEOmSwv",2020-07-19,Patna,6,8,Patna,negative,1284731771246927873
Currently Global Shipping restricted due to Covid 19. But can offer attractive prices for domestic Shipping. https://t.co/hVy4l8tZUd,2020-07-19,Dehradun,6,6,Dehradun,positive,1284731305687609345
"Need to create awareness about COVID-19 protocols among rural population: Indore MP 
@iShankarLalwani @MoHFW_INDIA… https://t.co/uxSeeVnczg",2020-07-19,Indore,6,6,Indore,negative,1284731211466723329
"How old were you when u realize that ""COVID-19"" stands for:- 🤔

""China Organised Virus In December 2019"" 😉… https://t.co/lSi8Chq2W2",2020-07-19,New Delhi,6,4,New Delhi,neutral,1284730933153693696
If anyone suffering from fever so is covid test mandatory or doctor should treat him because doctors are denying tr… https://t.co/SLpZBcAW6d,2020-07-19,Kanpur Nagar,6,4,Kanpur,negative,1284730919744491520
The legends whose did not let even COVID-19 cancel their Goa plan. 🙋‍♂️ https://t.co/VE0E6bKG76,2020-07-19,North Goa,6,3,Panaji,negative,1284730638600294400
@DC_Ranchi @JharkhandCMO @mygovindia @MoHFW_INDIA @BannaGupta76 @DDC_Ranchi @RanchiPIB @prdjharkhand @jharkhand181… https://t.co/AzDXX7wowD,2020-07-19,Jharkhand,6,3,Ranchi,neutral,1284730557453099010
@RahulGandhi @BJP4India @AmitShah @narendramodi This how the govt of Rajasthan is working in covid 19 situation. Pa… https://t.co/YQBXvIE8Zy,2020-07-19,Mumbai,6,1,Mumbai,neutral,1284729940009578496
"Faded Haircut with a Quiff.

Technique: Medium Fade Haircut.
Styling : Classic Quiff.
By Style Director Yogesh Nika… https://t.co/hKzwVBRynL",2020-07-19,Mumbai,6,0,Mumbai,neutral,1284729898616029186
@BiharHealthDept @SHSBihar @dm_patna  @kumravi @mangalpandeybjp Is Bihar govt. collecting samples from home of symp… https://t.co/W6oeIAcIiu,2020-07-19,Patna,6,0,Patna,neutral,1284729696945500160
Today's Covid 19 positive case details. #staysafe #stayhome #socialdistancing #wearmask #handwash… https://t.co/eOiO7PFbLo,2020-07-19,Koraput,5,59,Koraput,positive,1284729523804626946
"#ExamsInCovidASuicide
In this pandemic situation (COVID-19).Govt as taking such aa foolish decisions, By this decis… https://t.co/oEvXCS07b2",2020-07-19,Anugul,5,58,Industrial Cafe,negative,1284729385707122689
#Guwahati declared #lockdown  on 26th June with a total case of 6919 followed by 09 death figure and now #unlock1 a… https://t.co/lk67YApCIY,2020-07-19,Kamrup Metropolitan,5,58,Guwahati,negative,1284729375301099520
"French kiss k baad dar Ka mahol😂
Follow @memeswalebhaiyaaa for more amazing stuffs.
Follow @Memeswalebhaiy3… https://t.co/kZVJRkVPZr",2020-07-19,Gopalganj,5,56,Gopalganj,positive,1284728904922460161
"Our Indian government misarable failure in controlling of covid cases,covid cases are spreading everywhere, includi… https://t.co/504v6HIE0H",2020-07-19,Krishna,5,56,Vijayawada,negative,1284728692472573952
"Again &amp; again we r appealing that pls don't charge electricity bill for #lockdown period,why Mr MD is saying that w… https://t.co/y5JrEsJV22",2020-07-19,Kolkata,5,53,Kolkata,negative,1284728107258142720
"@DC_Ramgarh Corona spike is due to increase in corona test, I think. When I dare to go out for buying grocery items… https://t.co/vbhlhsgoJu",2020-07-19,Kaimur (Bhabua),5,52,Ramgarh,negative,1284727796183359488
I am happy to take the pledge to fight against #COVID19 Stigma &amp; discrimination. I encourage my friends to be part… https://t.co/XB4O9YjoB8,2020-07-19,Nashik,5,52,Ahmadabad City,positive,1284727738109030402
"*Social distancing 2avoid community spread n keep foremites at bay during self isolation*
VANDE MATRAM
Jai Ho n Jai… https://t.co/otIeE3LNHV",2020-07-19,Raigad,5,52,Panvel,negative,1284727681569796096
"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/kdVqyaBH8M

vi… https://t.co/yRVeWQYo9Q",2020-07-19,Hyderabad,5,51,Hyderabad,neutral,1284727519313182720
"Everything is trending on #Twitter india besides the virus.

Hey guys, we are in a lockdown.

For 10 years already.… https://t.co/NwRgcXSePW",2020-07-19,Gurugram,5,49,Gurgaon,neutral,1284727105536708608
"State Level Webinar on Post-Covid Scenario in Assam: Governance, Economy and Job Opportunities.

Date: 25th July 20… https://t.co/ebvLfwwQYJ",2020-07-19,Nagaon,5,48,Nagaon,negative,1284726896085700609
Where's the rain in Pune? Last year it wouldn't stop. It should be raining while we're all stuck at home in this lo… https://t.co/CZxXyg3FLz,2020-07-19,Pune,5,47,Pune,neutral,1284726575980670976
@VijayGoelBJP @VijayGoelOffice @BJP4India @ManojTiwariMP @M_Lekhi @GautamGambhir @p_sahibsingh AAP promised audit o… https://t.co/PfG0wQIZEB,2020-07-19,New Delhi,5,47,New Delhi,negative,1284726556892397568
Good thinking by DK administration a dedicated COVID Care Centre ambulence services launched. These are GPS fitted… https://t.co/tIM3cK1oPB,2020-07-19,YSR,5,46,Jyothi Circle,positive,1284726303757754370
#CoronarendraModi The experts are now predicting that India may become Global hotspot for Covid19 https://t.co/Mm259WHBN2,2020-07-19,Bangalore,5,45,Bengaluru,neutral,1284725924169015296
"How has Covid-19 impacted your export business? 
What innovative approaches are you using to shield your business?… https://t.co/hAsNMxEzFR",2020-07-19,New Delhi,5,43,New Delhi,positive,1284725555712024576
Dear @airtelindia @VodafoneIN @reliancejio please remove Covid blah blah while dailing...everyone is aware about it… https://t.co/yBOTIsOGTS,2020-07-19,Mumbai,5,40,Mumbai,positive,1284724826444140544
"Despite slowdown due to Covid-19, India's food exports up 27% since March
https://t.co/SXQhh2GV2v via NaMo App https://t.co/BKPlAi6oTc",2020-07-19,Mumbai,5,39,Mumbai,neutral,1284724647963947009
@SerumInstIndia @adarpoonawalla V r proud of you being global leader in making fastest production of vaccines. Expe… https://t.co/N2HeqnUYcN,2020-07-19,New Delhi,5,39,New Delhi,positive,1284724495421337600
"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/AfQfVvpAJG via… https://t.co/Appk3b9w6T",2020-07-19,Mumbai,5,39,Mumbai,neutral,1284724486592270336
"@neelam_tndn During Corona crisis lockdown, Sant Shri Asharamji Bapu's ashrams have emerged as the biggest relief c… https://t.co/0UUyQe9Rpu",2020-07-19,Thane,5,39,Kalyan Dombivali,negative,1284724418472579072
"*Superb article on current economic scenario by
 Dr Subramanian Swamy -
Dr @Swamy39 ji 
 Consequences of Covid-19 f… https://t.co/yCLsRxwcNX",2020-07-19,New Delhi,5,38,New Delhi,positive,1284724315292749826
@KDMCOfficial abhi lockdown extend mat karo nd imply bhi mat karo...kuch fatak toh padd nahi raha no. of cases me..… https://t.co/0t5z4wQAoG,2020-07-19,Thane,5,38,Kalyan Dombivali,negative,1284724165728038912
"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/deFahpNAup

vi… https://t.co/tmrXYiluMm",2020-07-19,Mumbai,5,37,Mumbai,neutral,1284723970084712449
"I am appalled to see the crumbling state of governance in West Bengal.
Health sector being of prime importance expo… https://t.co/Aa9LaChLFV",2020-07-19,Thane,5,35,Thane,negative,1284723613061361664
"@HemantSingh6263 
#Covid_19 

Always remember this rule #SMS 🙂🙂🙂 https://t.co/G8CYUaahOC",2020-07-19,Indore,5,34,Indore,positive,1284723255161393153
#Covid_19 Prevention of corona by facemask and social distancing so we will secure our health and our country....… https://t.co/Fa4VWRCqP6,2020-07-19,Kanpur Nagar,5,32,Kanpur,negative,1284722660094603265
The bold and the brave patriots. #ARMY #KanganaRanawat #Dhoni #COVID #sundayvibes #FACup #shivratri2020 #India https://t.co/5Ua6ZnmKgX,2020-07-19,Bangalore,5,32,Bengaluru South,positive,1284722656323883010
#SundayFunday this covid 19 now Sunday is also becomes a norma day no excitement,2020-07-19,Lucknow,5,26,Lucknow,negative,1284721260329484290
"Chennai always smart...
https://t.co/WczcfXyVkq",2020-07-19,Chennai,5,23,Egmore Nungambakkam,positive,1284720407375798272
We are fighting against COVID 19 . Please help us to help others 🙏 @ SMILE Society- Voluntary Service Organization https://t.co/yGmDK9x0og,2020-07-19,Kolkata,5,21,Kolkata,positive,1284720066890739714
"Antigen tests not fully reliable to detect coronavirus: Experts

@dt_next @drvivek_dixit @kprabhdeep @chennaicorp… https://t.co/S3MRuHjXA0",2020-07-19,Agra,5,20,Tamil Nadu,neutral,1284719832022171648
@DM_Bhadrak Donot know how do their is a mismatch of data between your COVID update &amp; Government of Odisha data. Pl… https://t.co/uDkMfHwEF0,2020-07-19,Bangalore,5,19,Bengaluru South,neutral,1284719572029849602
@DrJagdishSurat dr mayor saheb pl declare lockdown upto 31 st july as there is a social spreading of disease &amp; no b… https://t.co/1mbhT6svGG,2020-07-19,Surat,5,19,Surat,negative,1284719519093719040
@IndiGo6E Pls advise: Cant we show the softcopy of the tickets and baggage tag to travel? It asks to carry “home pr… https://t.co/gXddICK3Qt,2020-07-19,Thane,5,19,Thane,negative,1284719490664669184
"#Odisha With the detection of 25 fresh Covid-19 positive cases, the number of positive cases rose to 181 in Sambalp… https://t.co/DidC4EmuOM",2020-07-19,Sambalpur,5,19,Sambalpur,positive,1284719391972552704
"Taking Steam is very important to fight #COVID #COVID19India #Covid_19 #India.
Steam temperature upto 60deg.
Daily… https://t.co/I2qzjkMZqq",2020-07-19,Mumbai,5,18,Mumbai,negative,1284719351417847808
"Across the world, the one way to ward off COVID-19 is by WEARING A MASK AT ALL TIMES WHEN ONE IS OUT. To keep yours… https://t.co/wK5QXPGM7B",2020-07-19,Kolkata,5,18,Kolkata,neutral,1284719253439078400
"@BJP4Himachal @RahulTh85476593 Even after the economy being shut during lockdown, retail inflation as measured by t… https://t.co/qQfFdbgZ9i",2020-07-19,Valsad,5,18,Umbergaon,neutral,1284719164523900929
"@UP_Textile @nsitharamanoffc @nsitharaman Even after the economy being shut during lockdown, retail inflation as me… https://t.co/iY0bAtTQ3j",2020-07-19,Valsad,5,17,Umbergaon,neutral,1284719001403195392
@onemoreprince @jaymanpandya It's not like I don't like thyrocare. There are the best. Just last few news from Mumb… https://t.co/ShNevnNJKt,2020-07-19,Nagpur,5,17,Nagpur,negative,1284718921543634945
"Triple Lockdown Imposed in Coastal Areas of Thiruvananthapuram Till July 28, Movement of People Prohibited… https://t.co/FCnjE5UEi2",2020-07-19,Thiruvananthapuram,5,16,Trivandrum,negative,1284718736620916738
"@PMOIndia please ask millitary to setup tent hospitals all over India.

Please ask companies and other government s… https://t.co/iZNshcIgTQ",2020-07-19,Bangalore,5,15,Bengaluru South,positive,1284718562486046720
"@CMOfficeUPsir i'm asymptomatic COVID positive, admitted to Shree Ram Ayurvedic Medical Hospital, Meerut on 17 July… https://t.co/MV9cf9ibTq",2020-07-19,Meerut,5,14,Meerut City,positive,1284718348173901824
"Covid-19: India recorded 38,902 fresh cases in 24 hours https://t.co/vq3mWE55XV via @GNS News",2020-07-19,Ahmedabad,5,13,Daskroi,negative,1284718083240652800
"COVID -19 
Past 🤔🤔
Present 🤔🤔😱😭
Future 🤔😱😭😭😭😭😭😭
#Mahadev___Baba 🙏
#waheguru_jee_mehar_kri 🙏🙏🙏
🇮🇳🙏🤘
#CoronaUpdatesInIndia",2020-07-19,Darbhanga,5,13,Darbhanga,negative,1284718015079047171
"@UP_Textile Even after the economy being shut during lockdown, retail inflation as measured by the CPI
stood at 6.0… https://t.co/ITqIVXippG",2020-07-19,Valsad,5,12,Umbergaon,neutral,1284717817711824898
"Happy #Sundays😊
 Nowadays #Strictdays!😳  
#lockdown #sundayvibes #sundaylockdown #coronavirus #COVID__19 #TNGovt… https://t.co/DAfjOlXUL5",2020-07-19,Viluppuram,5,12,Viluppuram,positive,1284717792814444544
@Capt_Devashish @BannaGupta76 @atulgera007 @hoomantic @maheshpoddarmp @Sharma_Malavika @SethSanjayMP @Sangram_kims… https://t.co/DhMAK9ouJt,2020-07-19,Jharkhand,5,12,Ranchi,neutral,1284717787655491584
"@Anithareddyatp Covid news creates awareness. 
Why the world is not questioning China about the stealth war let loo… https://t.co/pegRYMht2J",2020-07-19,Krishna,5,12,Vijayawada,negative,1284717629790273539
