tweetid,content,place,district,date,problem,sentiment
1.28e+18,#Unlock2.0: Govt offices in Odisha to function with 50% staff in July amid rise of COVID positive cases. https://t.co/lRzSGDoQyP,Bhubaneshwar,Khordha,2020-06-30,['Others'],negative
1.28e+18,"How to keep be safe in Covid (pandemic)?

Keep Social Distancing
Wash hands properly 
Wear a mask 
Avoid Going Out… https://t.co/roZromcrMu",Mumbai,Mumbai ,2020-06-30,['Transpotation'],negative
1.28e+18,@vasudev12498056 @suneetramdass Arey TROLL IMPOSTER. Cowards like you hiding behind a fake profile and commenting o… https://t.co/fgQg62dG52,Himachal Pradesh,Solan,2020-06-30,['Economic'],negative
1.28e+18,"For the good and bad
 for positive and negative sides of it for keeping us engaged during the lockdown for binding… https://t.co/UlqeJWlc0u",Baharagora,Purbi Singhbhum,2020-06-30,,positive
1.28e+18,@ola_supports Can you please let us know the lockdown policies which you have received in prior? There would be no… https://t.co/qnnZvjlpWd,Thane,Thane,2020-06-30,,neutral
1.28e+18,"Breaking the #chain of the spread of #coronavirus is important
.
Hence we have decided to implement a #lockdown in… https://t.co/6VEWwZaOOJ",Thane,Thane,2020-06-30,,neutral
1.28e+18,"COVAXIN™, India's 1st indigenous Covid-19 vaccine, developed by Bharat Biotech successfully enters human trials.👏👏… https://t.co/SxLxkDD0VD",Nellore,Sri Potti Sriramulu Nellore,2020-06-30,,neutral
1.28e+18,"For the good and bad, 
For positive &amp; negative sides of it For keeping us engage during the Lockdown for binding us… https://t.co/6lyD02ohLx",Gandhinagar,Gandhinagar ,2020-06-30,,positive
1.28e+18,"After govt. banning 59 Chinese apps, please now quickly make an announcement on 
JEE and NEET............. otherwis… https://t.co/rpfzZndqij",Kishangarh,Ajmer,2020-06-30,['Daily Services'],negative
1.28e+18,"#COVIDー19 June 30 Highlights: Maharashtra tally crosses 1.74 lakh; lockdown imposed in Mira Bhayander, Thane, Kalya… https://t.co/24CWLzKjYL",Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,"❇️ * Embrace the #NewNormal, let us together fight against COVID-19. #IndiaWillWin *",Hyderabad,Hyderabad,2020-06-30,,positive
1.28e+18,"❇️ * COVID-19 recovery rate improves from 58.67% to 60% close ; More than 1,20,000 patients recovered in last 24 ho… https://t.co/mrJUmRk6py",Hyderabad,Hyderabad,2020-06-30,,positive
1.28e+18,"▪️* Rs 31,000 crore transferred to almost 20 crore poor families Jan Dhan accounts * 
▪️ * Rs 18,000 crore transfer… https://t.co/6NExM9PSQl",Hyderabad,Hyderabad,2020-06-30,['Daily Services'],negative
1.28e+18,"How much do you spend in weekly petty expenses, eg. tea, snacks, ancillary etc. post covid era, remarkable drop is… https://t.co/FsOhVIL3wM",Ahmadabad City,Ahmedabad ,2020-06-30,['Transpotation'],negative
1.28e+18,"* COVID-19 updates as on 30.06.2020 at 8 AM 👇

▪ Active Cases: *2,15,125*
▪ Cured/Discharged/Migrated cases:  *3,34… https://t.co/YIC2OEmSzM",Hyderabad,Hyderabad,2020-06-30,,neutral
1.28e+18,Handwashing is the biggest weapon against Coronavirus. Follow these easy and simple handwashing steps to stay prote… https://t.co/IMKzK9a0vK,Hyderabad,Hyderabad,2020-06-30,,positive
1.28e+18,@narendramodi sir lockdown ki wajha se job to chuli gyi.... account me kuch money daal do mobile recharge krwne hai next month.....,Nangal,Baghpat,2020-06-30,['Economic'],negative
1.28e+18,"❇️ * CSIR-CSIO developed protective eyewear for healthcare professionals treating COVID patients. * 

❇️ * All rema… https://t.co/GLDtBRS5fE",Hyderabad,Hyderabad,2020-06-30,,positive
1.28e+18,"▪️ * Lockdown to remain in force in Containment Zones till 31.07.20 * 

❇️ * Govt bans 59 mobile apps for security,… https://t.co/6fl9tWvIHJ",Hyderabad,Hyderabad,2020-06-30,,neutral
1.28e+18,Covid -19 is most disciplined in the city of indore. For the past many weeks it is between 40 to 50 cases. Shiv raj… https://t.co/oKcN8EMSFa,Coimbatore,Coimbatore ,2020-06-30,,neutral
1.28e+18,"12 POSITIVE CASES REPORTED IN SILIGURI MUNICIPAL CORPORATION TODAY

• Ward no 4, 14, 15, 17, 26, 29, 30, 38, 40- 1… https://t.co/FVH7utgXjx",Jalpaiguri,Jalpaiguri,2020-06-30,,neutral
1.28e+18,"@SetuAarogya 
@DFSFightsCorona 
@drharshvardhan 
@PMOIndia 
#COVID
#COVID19Bangalore         Forwarded...... take e… https://t.co/SgbnksJqED",Bengaluru South,Bangalore ,2020-06-30,,neutral
1.28e+18,"Wearing of sun glasses in #Thalapathy #vijay style

#pubgban #lockdownextension #tuesdayvibes #China #lockdown… https://t.co/SL0fMcjr4l",Palladam,Tiruppur,2020-06-30,,neutral
1.28e+18,Maharashtra government needs to ensure that the school and college staff are retained and continue to receive the s… https://t.co/CH9MR1clSs,Pathri,Parbhani,2020-06-30,,neutral
1.28e+18,"@sandhyanairTOI Total Harrasment... No guarantee for treatment or cure...
 Just lockdown",Mumbai,Mumbai ,2020-06-30,['Economic'],negative
1.28e+18,"With many in Maharashtra suffering due to #COVID19 outbreak and the lockdown, @siomsz has demanded that the fees ch… https://t.co/4Lb3xaoVpQ",Pathri,Parbhani,2020-06-30,,neutral
1.28e+18,"Thank you ❤️

Should probably do a thread on our lockdown meals! https://t.co/cKuiU9mypQ",Noida,Gautam Buddha Nagar,2020-06-30,,positive
1.28e+18,"These vacant houses and apartments could be hired by the Government for accommodating the Covid  patients, especial… https://t.co/txk3uJbbsC",Vijayawada,Krishna,2020-06-30,,neutral
1.28e+18,"Due to lockdown, many parents are finding it very difficult to bear some of their regular expenses, including the s… https://t.co/xDaZvWckY7",Pathri,Parbhani,2020-06-30,['Daily Services'],negative
1.28e+18,This absolutely cheating the consumer's &amp; this is not expected from the #MVAGovt. Why did the #MERC approved the in… https://t.co/LJqNBTQWAY,Mumbai,Mumbai ,2020-06-30,['Others'],negative
1.28e+18,"Its been 2 weeks to this #waterlogging in a market area near Primary Health Centre in Kursela, #Bihar
In this… https://t.co/HvxPS0a7oI",Kursela,Katihar,2020-06-30,,neutral
1.28e+18,"Speaking of gifts, anyone know the status of the 20 lakh crore package so grandiloquently announced by the PM earli… https://t.co/FTasnNKuUB",Bengaluru,Delhi Cantonment,2020-06-30,['Others'],negative
1.28e+18,"Keywords that were used

Chat Puja (Bihar)
Poor
Farmer
Free grains

Keywords that weren't used

Eid
Gurpurab
China… https://t.co/o4FyK2USUp",New Delhi,New Delhi,2020-06-30,['Others'],negative
1.28e+18,#Bihar poll in November.😜#PM extends free foodgrains scheme till November: https://t.co/RoKgM5rSiM,Kolkata,Kolkata,2020-06-30,,neutral
1.28e+18,Great opportunity to do good. Under the guise of Covid. Election time. https://t.co/kAFIwtsnJ7,Mumbai,Mumbai ,2020-06-30,,positive
1.28e+18,Odisha Government extended the lockdown up to 31.07.2020 to contain spread of COVID-19. https://t.co/NIP1UxcPbw,Jharsuguda,Jharsuguda,2020-06-30,,neutral
1.28e+18,@MahaDGIPR @NitinRaut_INC Isn't this fooling the consumer &amp; helping the Corporate. @CMOMaharashtra @NitinRaut_INC w… https://t.co/BLV1ZnKxVb,Mumbai,Mumbai ,2020-06-30,['Others'],negative
1.28e+18,@imjadeja I think now we have to put ourselves under lockdown.,Bhavnagar,Bhavnagar ,2020-06-30,['Economic'],negative
1.28e+18,@HDFC_Bank My company is eligible for 20% mortgage free loans under COVID-19 Scheme. My company has account with yo… https://t.co/82kG2xQAlb,Wardha,Wardha,2020-06-30,['Economic'],negative
1.28e+18,It's complete lockdown starting from July 2nd here in Thane Muncipality Corporation Region. Is there availability o… https://t.co/X1Xp3KGyHG,Thane,Thane,2020-06-30,,neutral
1.28e+18,"Covid covid go away, 
Give us back our happy day.
Kids wants them free to play,
Covid Covid go away.… https://t.co/clXEMzwOIx",Nashik,Nashik,2020-06-30,,positive
1.28e+18,"@PMOIndia @PMOIndia Mr Modi covid-19, election selection, commission qualified CO, OC COMDTs always serve for the r… https://t.co/ZvEeTM0yux",Bah,Agra,2020-06-30,,positive
1.28e+18,"During the lockdown, one small silver lining was the sense of community I was getting from social media. Some sense… https://t.co/OkSbpec57f",Bengaluru,Bangalore ,2020-06-30,,positive
1.28e+18,@passportsevamea @MEAIndia sir it would be helpful of you to tell me what should I do now so dt there is no adverse… https://t.co/38SHyFNHQ4,Haldia,Purba Medinipur,2020-06-30,['Daily Services'],negative
1.28e+18,"@zeeshan_iyc
Need to sanitize our building in Bandra as there is a Covid-19 patient. Help Needed
A/Wing, Jamate Jam… https://t.co/aEsIHZuJ9W",Mumbai,Mumbai ,2020-06-30,,positive
1.28e+18,"Respected sir
My sister has been diagnosed covid positive,on 28-6-2020. I made a call on arogya setu helpline numbe… https://t.co/ImRgZZjKpZ",New Delhi,New Delhi,2020-06-30,,positive
1.28e+18,If this is nt case then they will correct. But I feel we all have used extra power under lockdown so every month 10… https://t.co/AXu9JRvJaz,Mumbai,Mumbai ,2020-06-30,['Others'],negative
1.28e+18,Nifty witnesses best quarter in 11 years even as COVID-19 cases spike; 16 stocks that rose more than 100% https://t.co/emDW9xDMlm,Mumbai,Mumbai ,2020-06-30,,positive
1.28e+18,Modi's address was not a damp squib. Rather it addressed day to day problems facing the poor populace and also the… https://t.co/kWFNBlaKU8,Bengaluru,Bangalore ,2020-06-30,['Others'],negative
1.28e+18,"Children are the most vulnerable to abuse during and after COVID-19. I urge all to follow these 3 basic steps B  ""B… https://t.co/xTdNSsODmA",New Delhi,New Delhi,2020-06-30,['Daily Services'],negative
1.28e+18,"Swastika chakra is the symbol of the truth in the universe .

#lockdownextension #tuesdayvibes #China #lockdown #Headshot",Ludhiana,Ludhiana,2020-06-30,,neutral
1.28e+18,@boomshankar_ I do but that is not the issue his community fed the poor during Ramzan and during Lockdown how come… https://t.co/FvfHyji3H3,Mumbai,Mumbai ,2020-06-30,['Economic'],negative
1.28e+18,"When the entire World’s population is lockdown, HDFC team was searching neighbourhood Real Heroes for their  OUTSTA… https://t.co/GhNf6BnoEM",New Delhi,New Delhi,2020-06-30,,neutral
1.28e+18,"How to overcome depression in such a situation??
#neet2020postponed 
#lockdownextension 
#COVIDー19 
#lockdown… https://t.co/2gR4uTDbDp",Kolkata,Kolkata,2020-06-30,['Transpotation'],negative
1.28e+18,"Thanku pm sir today u just told the festivals in offing
We were lost in lockdown reeling
N ruling...",Amritsar,Amritsar,2020-06-30,['Others'],negative
1.28e+18,"Please ask MERC to take back order of revised tariffs.
How can that be allowed during pandemic &amp; lockdown?
Central… https://t.co/cvJdyFCOzN",Mumbai,Mumbai ,2020-06-30,['Daily Services'],negative
1.28e+18,"#ModiCARES4Poor
Timely lockdown and other bold decisions by the Modi Govt have saved the lives of millions of peopl… https://t.co/AMRnoLFAPa",Malihabad,Lucknow,2020-06-30,['Others'],negative
1.28e+18,@saahilspeaking ha spcly in this lockdown,Kolkata,Kolkata,2020-06-30,['Others'],negative
1.28e+18,@AmitShah @narendramodi Please set example with salary reduction of 10% for government employees and politicians ..… https://t.co/AcdOpAGcod,Faridabad,Faridabad,2020-06-30,,neutral
1.28e+18,Out of roughly 23 tower in society 2 tower has 2  covid cases in two flats in my society!! Me &amp; my family is nt in… https://t.co/XYBq8KLzHK,Kolkata,Kolkata,2020-06-30,['Food Shortage'],negative
1.28e+18,"@PMOIndia aaj China par bolna tha, bol gaye CHANA par. Which was also necessary since your unplanned lockdown had l… https://t.co/56Gstm8Zkn",Haora,Howrah,2020-06-30,,neutral
1.28e+18,@mercer A6:Give dem social safety nets such as Insurance &amp; pension schemes. Whatever had been partially paid during… https://t.co/mykwQgM21W,Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,Not about covid-19? https://t.co/eoBNgrYwLS,Thane,Thane,2020-06-30,,neutral
1.28e+18,@ANI Jugglery of WORDS... As confusing as #Covid_19,Port Blair,South Andaman,2020-06-30,,neutral
1.28e+18,"@CMOMaharashtra @Dev_Fadnavis @abpmajhatv @zeemarathi @NasikNews @PawarSpeaks Saheb log, @MSEDCL is charging us way… https://t.co/c1b77aMgG5",Nashik,Nashik,2020-06-30,,neutral
1.28e+18,"Crazy blue hour today #timelapse 
.
.
#sunset #Tuesday #bluehour #QuarantineAndChill #lockdown  #lockdownextension https://t.co/OxDAlW5k0k",Mumbai,Mumbai ,2020-06-30,['Economic'],negative
1.28e+18,"#Repost samir_saptiskar (@get_repost)
・・・
Thank you audio garrage n amey londhe for this wonderful recording sessio… https://t.co/l0b1gZ0mbB",Mumbai,Mumbai ,2020-06-30,,positive
1.28e+18,"@HuXijin_GT China is responsible for curse of Covid 19 for whole of the world.
Be ready, God will soon punish.",New Delhi,New Delhi,2020-06-30,['Economic'],negative
1.28e+18,Good idea. BTW are owaisi hospital and princess Esra hospital ramped up for COVID patients? https://t.co/tnmqgB9NYh,Hyderabad,Hyderabad,2020-06-30,['Economic'],negative
1.28e+18,"@BJP4India should learn first humanity from @PFIOfficial .
We have seen that PFI volunteers in many parts of india… https://t.co/kWS6tA549N",Magadi,Shimoga ,2020-06-30,,positive
1.28e+18,"Congratulations!!!🎊 Presenting everyone the winners of our ""Guess the car"" contest.
Thank you, everyone, for making… https://t.co/LVbA07gWQR",Bengaluru South,Bangalore ,2020-06-30,,positive
1.28e+18,Flood in Assam&gt;&gt;&gt;&gt; Covid-19 in Assam https://t.co/cC4jug5yvH,Guwahati,Kamrup Metropolitan,2020-06-30,,neutral
1.28e+18,"➡️ AND IF ANY STUDENT IS AFFECTED OF COVID-19 GTU IS RESPONSIBLE FOR THAT OR NOT ? 

➡️ ACCORDING TO GTU 
➡️ PREVIO… https://t.co/HfGvGZGtBI",Rajkot,Rajkot,2020-06-30,['Others'],negative
1.28e+18,"#Belagavi

Today 2 cases have been tested positive for COVID-19 in the district.

#Death- P14579 a case of SARI was… https://t.co/FFaqsagdah",Belgaum,Belgaum ,2020-06-30,,neutral
1.28e+18,"Which one is more difficult to handle 

1. COVID-19
2. COWARD-56

@VinayDokania @rohansmitra @VGforINDIA… https://t.co/Aq0tFitwJG",Kolkata,Kolkata,2020-06-30,['Daily Services'],negative
1.28e+18,"@TawdeVinod @PrakashJavdekar
Kindly Please let parents know abt the issues regarding school fees and Books buying a… https://t.co/6UTtRfHA4O",Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,"@GaneshMPYC @RahulGandhi True warriors , who stood as a rock between COVID &amp; patients , good initiative",Bhopal,Bhopal,2020-06-30,,positive
1.28e+18,"CHINA BEGS INDIA NOW. THE CHINESE MEA STATEMENT IS ACCEPTABLE ONLY IF CHINA RETURNS AKSAI CHIN, SETS TIBET FREE, MA… https://t.co/TjkS9vFp7D",Bengaluru,Bangalore ,2020-06-30,['Transpotation'],negative
1.28e+18,The covid 19 bill. Can common people afford. https://t.co/UlNZAbAVXZ,Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,COVID-19 Admission offer for 2020 in FASHION DESIGN/INTERIOR DESIGN/HOTEL MANAGEMENT Courses under Utkal University… https://t.co/JsHQI9Cugr,Bhubaneshwar,Khordha,2020-06-30,,neutral
1.28e+18,"@SangmaConrad As per MHA's latest guidelines abt #Unlock.2, No state can seal it's border or restrict the movements… https://t.co/Zatkg8WJjI",Silchar,Cachar,2020-06-30,['Daily Services'],negative
1.28e+18,"9 New #Covid_19 Positive Cases, 1 Death &amp; 12 Discharge today in #Mysuru Dist. (30/06/2020)
 
Total Cases - 270
Tota… https://t.co/4Sm2PbLtFA",Mysore,Mysuru ,2020-06-30,['Others'],negative
1.28e+18,@BhaindarMira Total Harrasment.... Total Confusion...Barricades at various roads at Mira Bhayanadar..Once agin Lock… https://t.co/YHKyLM1GiY,Mumbai,Mumbai ,2020-06-30,['Transpotation'],negative
1.28e+18,@HiHyderabad Complete lockdown is good for Hyderabad.,Medchal,Medchal–Malkajgiri,2020-06-30,,positive
1.28e+18,"3 Books To Read In Lockdown 👇🏻
https://t.co/pUgKyx6n1L
.
#book #BookReview #lockdownextension 
#lockdown https://t.co/RQYrhIh6kH",New Delhi,New Delhi,2020-06-30,['Economic'],negative
1.28e+18,"We in our locality are surrounded by covid-19 + patients...numbers are increasing,time to lock down urgent… https://t.co/nKOsju34ku",Bijapur,Bijapur ,2020-06-30,['Others'],negative
1.28e+18,This symbolises how the BJP government in the state and Delhi treat citizens.  How disrespectful can anyone be to p… https://t.co/0UdYKYbD0U,Bengaluru South,Bangalore ,2020-06-30,['Transpotation'],negative
1.28e+18,"Prime Minister of India ko aaj China par bolna tha, Bol gye Chana par. Which was also necessary since your unplanne… https://t.co/chkIIZsUVj",Ranchi,Jharkhand,2020-06-30,,positive
1.28e+18,"Things Honourable Prime Minister missed in his speech-

🚩Galwan Valley
🚩 Economic relief package for middle class.… https://t.co/80KUSOpAVp",New Delhi,New Delhi,2020-06-30,,neutral
1.28e+18,"@sardesairajdeep @IndiaToday Distributions of alms from Modi treasury to Biharis, banning TikTok  are the rubbish t… https://t.co/6JcHsZwhkv",Mumbai,Mumbai ,2020-06-30,['Daily Services'],negative
1.28e+18,@pnbindia I need to get my passbook. Do I hv to go to bank or you have started with any initiative due to Covid situation.,Haveli,Pune ,2020-06-30,['Economic'],negative
1.28e+18,Follow @ChandrodayaVRN to get updates on Janmasthami 2020 #janmashtami be more connected for the Lord in #lockdown… https://t.co/jdBleqdf2B,New Delhi,New Delhi,2020-06-30,['Transpotation'],negative
1.28e+18,"#Maharashtra #Covid_19 report @MahaHealthIEC 

New cases- 4878 
Death- 245 (95 in last 48 hours 150 previous)… https://t.co/NUyyjUIRZN",Mumbai,Mumbai ,2020-06-30,,neutral
1.28e+18,"MODI JI Is fighting against the 4C’s....... Covid 
China 
Economic crisis
and last but not the least 
CONGRESS. 
More power to him 🙏🏻🇮🇳",New Delhi,New Delhi,2020-06-30,['Others'],negative
1.28e+18,"Shri @RahulGandhi interacts with Indian nurses from around the globe on the covid 19 pandemic. 
Turn in tomorrow at… https://t.co/roReATT201",Kolkata,Kolkata,2020-06-30,,neutral
1.28e+18,"condolences, #RIPPrabhu , Kindly help his family sir @Vijaykarthikeyn @Vijayabaskarofl @CMOTamilNadu #Covid_19 https://t.co/decLoTrPwV",Dharapuram,Tiruppur,2020-06-30,,neutral
1.28e+18,Yes true !! That’s why. Some idiots were beaten up with neck broken &amp; spine twisted is Ladakh regions where no man… https://t.co/Nl7VH5usEi,Medchal,Medchal–Malkajgiri,2020-06-30,['Transpotation'],negative
1.28e+18,"Bihar: Groom Succumbs To COVID-19, 95 Guests Who Attended Wedding Test Positive https://t.co/rRP97W7LRJ",Patna,Patna,2020-06-30,,neutral
1.28e+18,@EvidenceAid I am RTN.Professor (Biotech) and I suggest the following salt gargling for fast recovery and preventio… https://t.co/ohxjv1SbYh,Bengaluru South,Bangalore ,2020-06-30,,positive
1.28e+18,@MSPMovieManiac Inga full lockdown poga Vaipu also very less because of the political party involved to show a clea… https://t.co/zrePR2dDyi,Coimbatore,Coimbatore ,2020-06-30,['Others'],negative
1.28e+18,@narendramodi this is a clear loot to customers who have been genuinely paying the bills even during lockdown. Need… https://t.co/kNDF6VXnSZ,Panvel,Raigad,2020-06-30,['Economic'],negative
1.28e+18,"The problem is that in many places two to three lanes of the roads are blocked by these vehicles.
Does… https://t.co/C2Ik0s1cGB",Mumbai,Mumbai ,2020-06-30,['Others'],negative
1.28e+18,"The money I made by selling flowers was one of the key sources of income for my family, and that's taken a massive… https://t.co/Z41mv8Ll9I",Chennai,Chennai ,2020-06-30,,positive
1.28e+18,Since the government has put an extension on lockdown and the requirement for ration kits inspite of slowing have b… https://t.co/tqYM3L3Uar,Mumbai,Mumbai ,2020-06-30,['Economic'],negative
